,index,School,School_Total,graduation_rate,Grade,Grade_Total,male_pct,female_pct,asian_pct,black_pct,hispanic_pct,white_pct,multi_pct,native_pct,learning_english_pct,disability_pct,poverty_pct,homeless_pct,School_exp,Classroom_Salary,Other_Inst_Salary,Inst_Benefits,Prof_Dev,Admin_Salary,Admin_Benefits,Other_Salaries,Other_Benefits,Other_Exp,S_T_Ratio,lt_4,four_twenty,plus_21
1396,1423,QUEENS ACADEMY HIGH SCHOOL,290,0.24649859943977592,12,74,0.5540540540540541,0.44594594594594594,0.2702702702702703,0.02702702702702703,0.6216216216216216,0.08108108108108109,0.0,0.0,0.17567567567567569,0.25675675675675674,0.8513513513513513,0.0,26367.59,6855.32,1881.61,4377.66,0.0,1430.7,716.86,913.95,457.94,2013.79,10,38,47,16
1397,1424,QUEENS COLLEGIATE,363,0.8856304985337243,9,117,0.5299145299145299,0.4700854700854701,0.23076923076923078,0.37606837606837606,0.28205128205128205,0.03418803418803419,0.02564102564102564,0.05128205128205128,0.06837606837606838,0.1623931623931624,0.8290598290598291,0.05982905982905983,22269.67,6245.4,1513.82,3887.78,14.77,996.64,499.37,561.88,281.53,548.73,12,19,81,0
1398,1425,QUEENS COLLEGIATE,363,0.8856304985337243,10,99,0.5353535353535354,0.46464646464646464,0.2828282828282828,0.3838383838383838,0.18181818181818182,0.010101010101010102,0.050505050505050504,0.09090909090909091,0.10101010101010101,0.1919191919191919,0.8181818181818182,0.06060606060606061,22269.67,6245.4,1513.82,3887.78,14.77,996.64,499.37,561.88,281.53,548.73,12,19,81,0
1399,1426,QUEENS COLLEGIATE,363,0.8856304985337243,11,81,0.5432098765432098,0.4567901234567901,0.2962962962962963,0.2962962962962963,0.20987654320987653,0.037037037037037035,0.07407407407407407,0.08641975308641975,0.1111111111111111,0.1111111111111111,0.8271604938271605,0.09876543209876543,22269.67,6245.4,1513.82,3887.78,14.77,996.64,499.37,561.88,281.53,548.73,12,19,81,0
1400,1427,QUEENS COLLEGIATE,363,0.8856304985337243,12,66,0.4090909090909091,0.5909090909090909,0.2727272727272727,0.3484848484848485,0.22727272727272727,0.0,0.09090909090909091,0.06060606060606061,0.09090909090909091,0.07575757575757576,0.8787878787878788,0.0,22269.67,6245.4,1513.82,3887.78,14.77,996.64,499.37,561.88,281.53,548.73,12,19,81,0
1401,1428,QUEENS GATEWAY-HEALTH SCIENCES,411,0.9711538461538461,9,106,0.41509433962264153,0.5849056603773585,0.4528301886792453,0.2358490566037736,0.16981132075471697,0.03773584905660377,0.03773584905660377,0.0660377358490566,0.0,0.18867924528301888,0.6981132075471698,0.0,19761.05,5686.24,1045.32,3372.87,0.0,879.39,440.62,308.53,154.59,153.73,17,39,45,16
1402,1429,QUEENS GATEWAY-HEALTH SCIENCES,411,0.9711538461538461,10,93,0.4731182795698925,0.5268817204301075,0.46236559139784944,0.26881720430107525,0.0967741935483871,0.021505376344086023,0.08602150537634409,0.06451612903225806,0.0,0.16129032258064516,0.5376344086021505,0.053763440860215055,19761.05,5686.24,1045.32,3372.87,0.0,879.39,440.62,308.53,154.59,153.73,17,39,45,16
1403,1430,QUEENS GATEWAY-HEALTH SCIENCES,411,0.9711538461538461,11,106,0.39622641509433965,0.6037735849056604,0.5,0.25471698113207547,0.10377358490566038,0.05660377358490566,0.02830188679245283,0.05660377358490566,0.0,0.1320754716981132,0.4811320754716981,0.0660377358490566,19761.05,5686.24,1045.32,3372.87,0.0,879.39,440.62,308.53,154.59,153.73,17,39,45,16
1404,1431,QUEENS GATEWAY-HEALTH SCIENCES,411,0.9711538461538461,12,106,0.4056603773584906,0.5943396226415094,0.5283018867924528,0.24528301886792453,0.05660377358490566,0.04716981132075472,0.04716981132075472,0.07547169811320754,0.0,0.11320754716981132,0.6132075471698113,0.04716981132075472,19761.05,5686.24,1045.32,3372.87,0.0,879.39,440.62,308.53,154.59,153.73,17,39,45,16
1405,1432,QUEENS HIGH SCHOOL OF TEACHING,925,0.9673469387755103,9,257,0.41245136186770426,0.5875486381322957,0.21011673151750973,0.45525291828793774,0.2178988326848249,0.054474708171206226,0.0311284046692607,0.0311284046692607,0.042801556420233464,0.1245136186770428,0.708171206225681,0.04669260700389105,21739.77,6187.18,1291.06,3746.99,109.6,778.9,390.27,680.48,340.95,494.58,15,25,63,12
1406,1433,QUEENS HIGH SCHOOL OF TEACHING,925,0.9673469387755103,10,237,0.4430379746835443,0.5569620253164557,0.16877637130801687,0.510548523206751,0.20675105485232068,0.05063291139240506,0.03375527426160337,0.029535864978902954,0.046413502109704644,0.21518987341772153,0.5949367088607594,0.02109704641350211,21739.77,6187.18,1291.06,3746.99,109.6,778.9,390.27,680.48,340.95,494.58,15,25,63,12
1407,1434,QUEENS HIGH SCHOOL OF TEACHING,925,0.9673469387755103,11,223,0.4170403587443946,0.5829596412556054,0.21076233183856502,0.5426008968609866,0.16591928251121077,0.013452914798206279,0.04035874439461883,0.026905829596412557,0.03139013452914798,0.16143497757847533,0.6322869955156951,0.04035874439461883,21739.77,6187.18,1291.06,3746.99,109.6,778.9,390.27,680.48,340.95,494.58,15,25,63,12
1408,1435,QUEENS HIGH SCHOOL OF TEACHING,925,0.9673469387755103,12,208,0.46153846153846156,0.5384615384615384,0.21153846153846154,0.4375,0.1971153846153846,0.057692307692307696,0.07211538461538461,0.02403846153846154,0.038461538461538464,0.15865384615384615,0.6730769230769231,0.03365384615384615,21739.77,6187.18,1291.06,3746.99,109.6,778.9,390.27,680.48,340.95,494.58,15,25,63,12
