District,School,Accountability,Needs,School_exp,Classroom_Salary,Other_Inst_Salary,Inst_Benefits,Prof_Dev,Admin_Salary,Admin_Benefits,Other_Salaries,Other_Benefits,Other_Exp
NYC GEOG DIST # 2 - MANHATTAN,ELEANOR ROOSEVELT HIGH SCHOOL,Good,1,20036.97,5912.38,692.31,3309.3,43.88,752.85,377.22,398.96,199.9,630.42
NYC GEOG DIST # 2 - MANHATTAN,EMMA LAZARUS HIGH SCHOOL,Good,1,27237.51,6984.58,1275.7,4138.84,0.0,2040.16,1022.23,1233.17,617.89,2205.19
NYC GEOG DIST # 2 - MANHATTAN,ESSEX STREET ACADEMY,Good,1,22944.32,6449.75,1323.49,3894.8,53.62,854.16,427.98,909.12,455.51,856.12
NYC GEOG DIST # 2 - MANHATTAN,FACING HISTORY SCHOOL,Good,1,27702.75,7168.18,1959.72,4573.56,0.0,1046.07,524.14,1230.42,616.5,2864.4
NYC GEOG DIST # 2 - MANHATTAN,FOOD AND FINANCE HIGH SCHOOL,Good,1,23091.0,6911.46,747.6,3837.59,10.14,793.55,397.61,826.0,413.87,1433.4
NYC GEOG DIST # 2 - MANHATTAN,GRAMERCY ARTS HIGH SCHOOL,Good,1,21485.89,5436.05,1595.63,3523.24,38.85,712.23,356.86,433.57,217.24,1452.45
NYC GEOG DIST # 2 - MANHATTAN,HARVEST COLLEGIATE HIGH SCHOOL,Good,1,23094.8,7097.84,1154.76,4134.99,65.92,934.85,468.41,464.2,232.59,821.48
NYC GEOG DIST # 2 - MANHATTAN,HARVEY MILK HIGH SCHOOL,Good,1,47311.31,13611.79,1669.0,7656.48,0.0,5836.16,2924.22,3905.64,1956.93,2031.33
NYC GEOG DIST # 2 - MANHATTAN,HIGH SCHOOL OF FASHION INDUSTRIES,Good,1,20917.74,5225.73,977.42,3108.11,3.51,988.08,495.08,608.95,305.12,1485.99
NYC GEOG DIST # 2 - MANHATTAN,HIGH SCHOOL OF HOSPITALITY MGMNT,Good,1,23366.18,6580.82,1336.68,3967.09,64.59,1066.54,534.4,1116.92,559.64,419.73
NYC GEOG DIST # 2 - MANHATTAN,HIGH SCHOOL-CLIMATE JUSTICE,Good,1,24534.38,7508.6,1549.43,4538.55,98.69,892.52,447.2,952.35,477.18,350.11
NYC GEOG DIST # 2 - MANHATTAN,HIGH SCHOOL-LANGUAGE AND DIPLOMACY,Good,1,23878.4,6267.72,1457.73,3870.86,175.37,2029.34,1016.81,481.2,241.11,618.5
NYC GEOG DIST # 2 - MANHATTAN,HS FOR ENVIRONMENTAL STUDIES,Good,1,19567.12,5380.6,686.98,3040.18,12.34,699.88,350.68,599.63,300.45,776.62
NYC GEOG DIST # 2 - MANHATTAN,HS OF ECONOMICS & FINANCE,Good,1,20071.76,5305.76,1200.34,3259.9,3.73,656.49,328.94,538.91,270.02,787.91
NYC GEOG DIST # 2 - MANHATTAN,HS-DUAL LANGUAGE & ASIAN STUDIES,Good,1,19244.3,4717.41,875.32,2802.25,0.0,942.52,472.25,577.76,289.49,847.53
NYC GEOG DIST # 2 - MANHATTAN,HS-HEALTH PROFESSIONS & HUMAN SVCS,Good,1,18733.38,4972.11,743.68,2863.91,1.95,657.9,329.64,449.4,225.18,769.85
NYC GEOG DIST # 2 - MANHATTAN,HUDSON HS OF LEARNING TECHNOLOGIES,Good,1,26410.18,6450.44,2363.43,4416.21,30.82,1228.21,615.4,1619.98,811.7,1154.23
NYC GEOG DIST # 2 - MANHATTAN,HUMANITIES PREP ACADEMY,Good,1,24557.0,6733.12,1393.45,4071.84,0.0,1296.91,649.82,1305.85,654.3,731.96
NYC GEOG DIST # 2 - MANHATTAN,INDEPENDENCE HIGH SCHOOL,Target,1,31062.76,8589.31,2440.54,5526.54,0.0,2091.38,1047.89,771.68,386.66,2489.0
NYC GEOG DIST # 2 - MANHATTAN,INST FOR COLLABORATIVE EDUCATION,Good,1,18877.36,5418.65,913.87,3172.93,0.0,591.39,296.32,352.66,176.7,235.09
NYC GEOG DIST # 2 - MANHATTAN,INTERNATIONAL HS AT UNION SQUARE,Good,1,26926.38,8005.19,1009.37,4516.77,0.0,1106.05,554.19,1816.69,910.25,1288.12
NYC GEOG DIST # 2 - MANHATTAN,JACQUELINE KENNEDY-ONASSIS HS,Good,1,29548.21,8816.57,1567.96,5203.2,0.0,1725.56,864.6,1109.44,555.89,1985.25
NYC GEOG DIST # 2 - MANHATTAN,JAMES BALDWIN SCHOOL,Good,1,28722.69,8589.25,1938.96,5275.19,261.17,966.41,484.22,1672.18,837.85,977.7
NYC GEOG DIST # 2 - MANHATTAN,LANDMARK HIGH SCHOOL,Good,1,23616.93,6378.46,1627.45,4011.38,108.13,1190.79,596.65,670.95,336.18,977.18
NYC GEOG DIST # 2 - MANHATTAN,LEADERSHIP & PUBLIC SERVICE HS,Target,1,24015.1,6344.5,1423.2,3892.03,0.0,1599.9,801.63,1145.81,574.11,514.15
NYC GEOG DIST # 2 - MANHATTAN,LIBERTY HS ACADEMY-NEWCOMERS,Good,1,25024.5,7192.65,1025.07,4117.51,11.8,1229.57,616.08,1346.14,674.49,1091.44
NYC GEOG DIST # 2 - MANHATTAN,LOWER MANHATTAN ARTS ACADEMY,Good,1,24632.08,6387.51,2059.19,4232.24,11.14,1046.94,524.57,946.95,474.47,1229.3
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN ACAD-ARTS AND LANGUAGE,Good,1,27647.72,7477.98,1189.83,4343.03,12.76,2534.09,1269.71,1368.37,685.63,1046.55
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN BRIDGES HIGH SCHOOL,Good,1,21172.05,5634.43,1124.0,3386.33,47.42,897.16,449.52,601.2,301.24,1010.99
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN BUSINESS ACADEMY,Good,1,23043.46,6412.41,1283.13,3855.87,0.0,1256.44,629.54,617.28,309.29,959.73
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN EARLY COLLEGE SCH-ADVERTIS,Good,1,22120.75,6292.64,832.46,3570.05,97.83,1049.21,525.71,652.35,326.86,1053.87
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN INTERNATIONAL HIGH SCHOOL,Good,1,24943.31,7006.51,1494.85,4259.63,75.44,1318.62,660.7,1100.32,551.32,756.14
NYC GEOG DIST # 2 - MANHATTAN,MANHATTAN VILLAGE ACADEMY,Good,1,19006.63,5561.48,580.96,3077.69,0.0,679.16,340.3,179.11,89.75,778.43
NYC GEOG DIST # 2 - MANHATTAN,MILLENNIUM HIGH SCHOOL,Good,1,18119.48,5428.64,481.73,2961.4,0.0,475.55,238.27,367.11,183.94,263.07
NYC GEOG DIST # 2 - MANHATTAN,MURRAY HILL ACADEMY,Good,1,26747.56,7621.04,1690.54,4665.59,181.28,1354.57,678.71,1196.0,599.26,1040.81
NYC GEOG DIST # 2 - MANHATTAN,MURRY BERGTRAUM HS-BUSINESS CAREERS,Good,1,40761.78,12279.4,4461.17,8387.91,0.0,1252.14,627.38,2659.86,1332.72,2041.45
NYC GEOG DIST # 2 - MANHATTAN,NEW DESIGN HIGH SCHOOL,Good,1,24151.29,7304.18,1640.49,4481.75,24.56,833.97,417.86,667.77,334.59,726.38
NYC GEOG DIST # 2 - MANHATTAN,NYC ISCHOOL,Good,1,20907.36,6259.96,796.56,3535.69,0.0,687.8,344.62,665.76,333.58,563.63
NYC GEOG DIST # 2 - MANHATTAN,NYC LAB HS-COLLABORATIVE STUDIES,Good,1,27142.08,8204.7,2818.78,5523.34,39.4,632.83,317.08,739.45,370.5,776.24
NYC GEOG DIST # 2 - MANHATTAN,NYC MUSEUM SCHOOL,Good,1,21209.5,6470.78,994.42,3740.46,0.0,660.69,331.04,421.05,210.97,660.31
NYC GEOG DIST # 2 - MANHATTAN,PACE HIGH SCHOOL,Good,1,22175.07,6421.41,1204.09,3820.78,34.25,1051.11,526.66,557.59,279.38,560.03
NYC GEOG DIST # 2 - MANHATTAN,PROFESSIONAL PERF ARTS HIGH SCHOOL,Good,1,20252.59,5382.17,653.97,3024.42,0.0,611.73,306.51,258.86,129.7,2165.47
NYC GEOG DIST # 2 - MANHATTAN,QUEST TO LEARN,Target,1,24190.96,6843.14,1729.08,4295.13,41.6,783.35,392.5,983.18,492.63,910.6
NYC GEOG DIST # 2 - MANHATTAN,REPERTORY COMPANY HS FOR THEATRE ART,Good,1,23688.13,6074.47,913.51,3501.35,0.0,1871.04,937.49,1217.06,609.81,843.65
NYC GEOG DIST # 2 - MANHATTAN,RICHARD R GREEN HS OF TEACHING,Good,1,26065.2,7852.6,1204.73,4538.2,0.0,1184.28,593.39,1236.55,619.58,1116.11
NYC GEOG DIST # 2 - MANHATTAN,SCHOOL OF THE FUTURE HIGH SCHOOL,Good,1,21310.09,5884.36,1197.71,3548.49,0.0,595.99,298.62,878.44,440.15,746.58
NYC GEOG DIST # 2 - MANHATTAN,STEPHEN T MATHER BLDG ARTS-CRAFTSMAN,Good,1,27629.07,8595.85,1799.59,5208.66,75.42,1111.93,557.13,951.28,476.64,1132.8
NYC GEOG DIST # 2 - MANHATTAN,STUYVESANT HIGH SCHOOL,Good,1,17793.97,4676.43,670.64,2679.17,0.04,455.1,228.03,610.5,305.89,448.4
NYC GEOG DIST # 2 - MANHATTAN,TALENT UNLIMITED HIGH SCHOOL,Good,1,21351.72,6124.01,791.25,3464.91,0.69,869.48,435.65,707.72,354.61,883.64
NYC GEOG DIST # 2 - MANHATTAN,UNION SQUARE ACAD FOR HEALTH SCIENCE,Good,1,23042.75,6075.49,1648.18,3869.96,0.0,1136.77,569.58,543.01,272.08,1207.92
NYC GEOG DIST # 2 - MANHATTAN,UNITY CENTER FOR URBAN TECHNOLOGIES,Good,1,21593.0,4547.3,1476.69,3018.34,43.77,1652.27,827.87,751.61,376.6,1178.79
NYC GEOG DIST # 2 - MANHATTAN,URBAN ACAD LABORATORY HIGH SCHOOL,Good,1,31346.38,11527.32,1924.46,6740.05,26.95,1314.3,658.54,724.01,362.77,348.21
NYC GEOG DIST # 2 - MANHATTAN,URBAN ACADEMY-GOVERNMENT & LAW,Good,1,22298.59,5384.7,1742.6,3571.15,0.0,1435.93,719.48,330.94,165.82,1228.2
NYC GEOG DIST # 2 - MANHATTAN,URBAN ASSEMBLY GATEWAY SCHOOL-TECH,Good,1,24093.95,6858.52,1330.71,4103.23,0.0,664.94,333.17,1056.44,529.33,1497.86
NYC GEOG DIST # 2 - MANHATTAN,URBAN ASSEMBLY MAKER ACADEMY,Good,1,22176.59,5901.32,1124.2,3520.16,10.42,1159.35,580.89,708.79,355.14,1096.56
NYC GEOG DIST # 2 - MANHATTAN,URBAN ASSEMBLY NY HARBOR SCHOOL,Good,1,24348.15,7271.42,1588.86,4439.46,0.0,1114.84,558.59,567.75,284.48,802.99
NYC GEOG DIST # 2 - MANHATTAN,URBAN ASSEMBLY-EMERGENCY MANAGEMENT,Good,1,24171.25,6948.02,1621.45,4293.76,0.0,1338.03,670.43,349.45,175.09,1055.26
NYC GEOG DIST # 2 - MANHATTAN,URBAN ASSMBLY SCH-DESIGN & CONST,Good,1,26015.03,7302.58,1987.15,4654.64,16.54,1232.71,617.65,984.19,493.13,1006.68
NYC GEOG DIST # 2 - MANHATTAN,URBAN SCH-BUSINESS-YNG WOMEN,Good,1,26050.51,6595.48,1881.94,4247.64,0.83,1389.52,696.22,1336.97,669.9,1512.24
NYC GEOG DIST # 2 - MANHATTAN,VANGUARD HIGH SCHOOL,Good,1,23248.62,7250.09,1116.49,4192.09,1.5,692.76,347.11,762.3,381.95,784.56
NYC GEOG DIST # 3 - MANHATTAN,BEACON HIGH SCHOOL,Good,1,17495.09,4962.26,628.16,2801.1,0.19,294.58,147.6,527.93,264.52,148.98
NYC GEOG DIST # 3 - MANHATTAN,EDWARD A REYNOLDS WEST SIDE HS,Good,1,44654.69,15640.69,2345.93,9012.25,379.95,2286.73,1145.78,3125.17,1565.87,1432.55
NYC GEOG DIST # 3 - MANHATTAN,FIORELLO H LAGUARDIA HIGH SCHOOL,Good,1,19148.81,5749.95,544.54,3153.87,0.0,629.53,315.43,406.15,203.5,426.07
NYC GEOG DIST # 3 - MANHATTAN,FRANK MCCOURT HIGH SCHOOL,Good,1,19001.83,5401.23,583.03,2998.43,0.0,721.49,361.5,451.04,226.0,539.33
NYC GEOG DIST # 3 - MANHATTAN,FREDERICK DOUGLASS ACADEMY II,Good,1,26311.69,7164.63,1542.62,4362.79,3.09,1310.24,656.5,1346.06,674.45,1531.56
NYC GEOG DIST # 3 - MANHATTAN,GLOBAL LEARNING COLLABORATIVE,Good,1,22045.31,6260.46,1502.18,3889.49,14.8,713.79,357.64,384.81,192.81,1009.55
NYC GEOG DIST # 3 - MANHATTAN,HIGH SCHOOL-ARTS AND TECHNOLOGY,CSI,1,25858.21,6848.9,1417.26,4141.78,2.61,1384.46,693.69,1596.37,799.87,1253.49
NYC GEOG DIST # 3 - MANHATTAN,HS-LAW ADVCY & COMM JUSTICE,Good,1,23004.99,6528.1,1388.13,3966.45,2.99,1165.3,583.88,619.39,310.35,720.66
NYC GEOG DIST # 3 - MANHATTAN,MANHATTAN/HUNTER SCIENCE HS,Good,1,19814.2,5198.55,721.3,2966.16,15.74,1083.67,542.98,674.21,337.81,554.01
NYC GEOG DIST # 3 - MANHATTAN,MAXINE GREENE HS-IMAGINATIVE INQUIRY,Good,1,30755.73,10737.36,1859.94,6311.91,9.02,1673.09,838.3,655.39,328.39,622.56
NYC GEOG DIST # 3 - MANHATTAN,SPECIAL MUSIC SCHOOL,Good,1,23136.24,7363.78,950.58,4165.93,0.0,1084.86,543.57,417.81,209.35,680.59
NYC GEOG DIST # 3 - MANHATTAN,URBAN ASSEMBLY FOR GREEN CAREERS,Good,1,27569.85,7788.44,1509.98,4659.0,0.0,1386.64,694.78,1659.24,831.36,1320.67
NYC GEOG DIST # 3 - MANHATTAN,URBAN ASSMBLY SCH-MEDIA STUDIES,Good,1,24419.65,6601.73,1595.47,4107.23,5.6,1291.52,647.12,620.06,310.69,1520.46
NYC GEOG DIST # 3 - MANHATTAN,WADLEIGH PERF AND VISUAL ARTS,Good,1,28150.3,8313.17,1697.7,5015.97,125.35,1231.36,616.98,966.77,484.4,1978.83
NYC GEOG DIST # 3 - MANHATTAN,WEST END SECONDARY SCHOOL,Good,1,21206.7,5940.87,1223.07,3589.51,108.96,773.18,387.4,487.58,244.3,732.06
NYC GEOG DIST # 4 - MANHATTAN,CENTRAL PARK EAST HIGH SCHOOL,Good,1,21466.34,5872.97,1281.69,3584.86,50.1,914.25,458.09,689.49,345.47,549.66
NYC GEOG DIST # 4 - MANHATTAN,ESPERANZA PREPARATORY ACADEMY,Target,1,30441.05,8684.01,3299.35,6004.29,0.0,992.7,497.4,1032.79,517.48,1693.26
NYC GEOG DIST # 4 - MANHATTAN,HERITAGE SCHOOL,Good,1,23125.64,6152.52,791.1,3479.12,6.27,1530.7,766.96,705.89,353.69,1619.62
NYC GEOG DIST # 4 - MANHATTAN,JUDITH S KAYE SCHOOL,Good,1,46449.0,11118.48,3791.64,7470.76,0.0,3879.87,1944.02,5154.16,2582.5,2787.82
NYC GEOG DIST # 4 - MANHATTAN,MANHATTAN CENTER-SCIENCE & MATH,Good,1,19546.67,4753.04,1251.42,3008.55,29.76,875.54,438.69,458.39,229.68,781.84
NYC GEOG DIST # 4 - MANHATTAN,PARK EAST HIGH SCHOOL,Good,1,23914.78,7654.82,961.52,4317.24,0.0,1251.4,627.02,635.49,318.41,429.12
NYC GEOG DIST # 4 - MANHATTAN,YOUNG WOMEN'S LEADERSHIP SCHOOL,Good,1,20352.48,6004.9,818.21,3418.74,0.0,938.52,470.25,402.73,201.79,377.59
NYC GEOG DIST # 5 - MANHATTAN,COLUMBIA SECONDARY SCHOOL,Good,1,20879.89,5894.22,1799.18,3854.8,0.0,491.61,246.32,303.63,152.13,418.23
NYC GEOG DIST # 5 - MANHATTAN,EAGLE ACAD-YOUNG MEN-HARLEM,CSI,1,27301.93,8417.32,2367.54,5403.79,0.0,1024.39,513.27,984.84,493.46,377.56
NYC GEOG DIST # 5 - MANHATTAN,FREDERICK DOUGLASS ACADEMY,CSI,1,22351.81,6705.25,1681.97,4202.44,0.0,524.53,262.81,639.56,320.45,295.04
NYC GEOG DIST # 5 - MANHATTAN,HARLEM RENAISSANCE HIGH SCHOOL,Target,1,42371.43,14322.81,5020.5,9692.02,0.0,1419.81,711.4,1448.3,725.67,1311.15
NYC GEOG DIST # 5 - MANHATTAN,HS MATH SCI & ENGNRNG AT CCNY,Good,1,21626.06,6720.62,785.34,3760.88,0.0,694.05,347.76,643.61,322.48,631.56
NYC GEOG DIST # 5 - MANHATTAN,MOTT HALL HIGH SCHOOL,Target,1,22760.15,6178.26,1603.51,3899.08,36.37,947.18,474.59,508.43,254.75,1138.22
NYC GEOG DIST # 5 - MANHATTAN,THURGOOD MARSHALL ACAD FOR LEARNING,Good,1,24611.25,8244.5,1678.04,4971.72,0.0,745.15,373.36,403.3,202.08,273.35
NYC GEOG DIST # 5 - MANHATTAN,URBAN ASSEMBLY FOR THE PERFORM ARTS,Good,1,23497.82,6009.92,1774.4,3900.36,7.96,877.0,439.42,1418.0,710.49,640.51
NYC GEOG DIST # 5 - MANHATTAN,URBAN ASSEMBLY-GLOBAL COMMERCE,Target,1,29300.74,8967.73,2188.07,5589.65,0.0,1634.7,819.07,922.58,462.26,996.93
NYC GEOG DIST # 6 - MANHATTAN,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,Good,1,21322.18,5559.35,1170.16,3371.84,0.0,896.29,449.09,793.91,397.79,963.98
NYC GEOG DIST # 6 - MANHATTAN,CITY COLLEGE ACADEMY OF THE ARTS,Good,1,21733.16,5824.79,1261.17,3550.44,1.6,1021.29,511.72,565.46,283.33,993.59
NYC GEOG DIST # 6 - MANHATTAN,COLLEGE ACADEMY,Good,1,28703.12,7996.24,2511.92,5265.15,13.98,1994.92,999.56,769.83,385.72,1046.03
NYC GEOG DIST # 6 - MANHATTAN,COMMUNITY HEALTH ACAD OF THE HEIGHTS,Good,1,23032.09,6916.85,1090.08,4011.89,0.0,698.33,349.9,696.0,348.73,1200.56
NYC GEOG DIST # 6 - MANHATTAN,GREGORIO LUPERON HS-SCI & MATH,Good,1,23021.91,6233.66,1457.26,3853.56,0.0,1160.83,581.64,597.27,299.26,1118.68
NYC GEOG DIST # 6 - MANHATTAN,HIGH SCHOOL-HEALTH CAREERS & SCIES,Good,1,28153.8,7766.68,1983.16,4885.19,38.19,1493.53,748.33,892.73,447.31,2178.91
NYC GEOG DIST # 6 - MANHATTAN,HIGH SCHOOL-LAW & PUBLIC SERVICE,Good,1,26522.38,6508.93,2481.12,4504.49,114.53,1589.24,796.29,964.13,483.08,1360.81
NYC GEOG DIST # 6 - MANHATTAN,HIGH SCHOOL-MEDIA & COMMUNICATIONS,CSI,1,29705.32,6945.53,2115.52,4540.06,0.8,1704.11,853.85,1550.01,776.64,3499.05
NYC GEOG DIST # 6 - MANHATTAN,HS-EXCELLENCE AND INNOVATION,Good,1,36085.56,11451.45,2478.74,6979.76,27.9,1585.46,794.4,744.97,373.27,3929.85
NYC GEOG DIST # 6 - MANHATTAN,INWOOD EARLY COLLEGE FOR HEALTH-INFO,Good,1,26250.32,7332.6,2180.41,4766.52,31.69,1113.66,558.0,682.14,341.79,1523.76
NYC GEOG DIST # 6 - MANHATTAN,WASHINGTON HGTS EXPEDITIONARY LEARN,Good,1,24038.81,6396.61,2035.96,4225.16,200.62,696.22,348.84,567.58,284.39,1563.66
NYC GEOG DIST # 7 - BRONX,ALFRED E SMITH CAREER-TECH HS,Good,1,29496.97,8508.43,2047.6,5289.13,0.0,1879.0,941.48,1378.42,690.66,1042.49
NYC GEOG DIST # 7 - BRONX,BRONX DESIGN-CONSTRUCTION ACADEMY,Target,1,34133.16,11273.02,2214.23,6757.83,0.0,1491.64,747.39,1852.93,928.41,1147.95
NYC GEOG DIST # 7 - BRONX,BRONX HAVEN HIGH SCHOOL,Target,1,33741.83,10584.09,1592.36,6101.04,25.47,2802.73,1404.32,1356.68,679.77,1475.61
NYC GEOG DIST # 7 - BRONX,BRONX LEADERSHIP ACAD II HIGH SCHOOL,Good,1,25931.23,7064.9,2296.98,4690.8,0.0,1162.38,582.41,746.37,373.97,1293.67
NYC GEOG DIST # 7 - BRONX,CAREERS IN SPORTS HS,Good,1,25602.15,7394.19,1673.31,4543.3,0.0,925.81,463.88,567.75,284.47,2029.68
NYC GEOG DIST # 7 - BRONX,COMMUNITY SCHOOL-SOCIAL JUSTICE,Good,1,25742.07,6438.2,1812.44,4134.01,218.66,1426.26,714.63,1317.13,659.95,1301.03
NYC GEOG DIST # 7 - BRONX,HEALTH OPPORTUNITIES HIGH SCHOOL,Target,1,27565.55,7736.9,1804.79,4780.89,153.58,1672.92,838.22,943.26,472.62,1442.6
NYC GEOG DIST # 7 - BRONX,HERO HIGH SCHOOL,Good,1,25346.43,7361.72,1804.78,4592.9,97.74,913.23,457.58,430.09,215.5,1753.15
NYC GEOG DIST # 7 - BRONX,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Good,1,21871.31,6094.82,1386.61,3748.59,207.02,872.02,436.93,358.64,179.7,867.21
NYC GEOG DIST # 7 - BRONX,INTERNATIONAL COMMUNITY HS,Good,1,27550.94,7354.16,2562.9,4968.97,314.72,896.52,449.2,1205.23,603.88,1475.59
NYC GEOG DIST # 7 - BRONX,JILL CHAIFETZ TRANSFER HIGH SCHOOL,CSI,1,35896.78,10780.42,2015.93,6411.65,0.0,2177.46,1091.03,565.71,283.45,4851.35
NYC GEOG DIST # 7 - BRONX,LAB SCHOOL OF FIN & TECH: X223,Good,1,21840.54,5836.32,1006.64,3428.69,241.21,815.8,408.76,366.45,183.61,1833.31
NYC GEOG DIST # 7 - BRONX,MOTT HAVEN VILLAGE PREP HS,CSI,1,28930.27,8089.06,2518.91,5315.15,0.0,1911.39,957.71,887.77,444.82,1085.7
NYC GEOG DIST # 7 - BRONX,SOUTH BRONX PREPARATORY,Good,1,23346.61,6058.23,1650.38,3862.42,0.0,1156.54,579.49,495.01,248.03,1576.74
NYC GEOG DIST # 7 - BRONX,UNIVERSITY HEIGHTS SECONDARY SCHOOL,Good,1,20613.78,4463.32,1221.51,2848.4,0.0,842.14,421.95,1150.7,576.56,1369.43
NYC GEOG DIST # 7 - BRONX,URBAN ASSEMBLY BRONX OF LETTERS,Good,1,25447.15,7465.22,1984.21,4734.66,0.0,745.2,373.39,816.81,409.27,1198.63
NYC GEOG DIST # 8 - BRONX,ANTONIA PANTOJA PREP ACADEMY,Good,1,27719.76,8500.5,2515.38,5519.54,0.0,880.01,440.93,865.69,433.76,844.21
NYC GEOG DIST # 8 - BRONX,"ARCHIMEDES ACAD-MATH, SCI, TECH",Good,1,24793.28,7148.82,2161.49,4664.96,0.0,1028.14,515.15,633.08,317.21,604.68
NYC GEOG DIST # 8 - BRONX,BRONX ARENA HIGH SCHOOL,CSI,1,35915.86,12487.9,2601.62,7560.64,0.0,2756.54,1381.17,409.93,205.4,792.9
NYC GEOG DIST # 8 - BRONX,BRONX BRIDGES HIGH SCHOOL,Good,1,27602.65,6978.93,2062.07,4530.02,85.2,1455.98,729.52,1260.08,631.37,2149.74
NYC GEOG DIST # 8 - BRONX,BRONX COMMUNITY HIGH SCHOOL,Target,1,41589.29,15176.01,1916.24,8564.13,0.0,3385.43,1696.28,1546.53,774.9,810.0
NYC GEOG DIST # 8 - BRONX,BRONX COMPASS HIGH SCHOOL,Good,1,27429.73,7196.88,2134.66,4675.6,55.56,1577.91,790.62,1073.56,537.91,1667.28
NYC GEOG DIST # 8 - BRONX,BRONX RIVER HIGH SCHOOL,Good,1,24412.05,6797.69,1498.97,4157.07,76.62,984.36,493.22,949.99,476.0,1258.38
NYC GEOG DIST # 8 - BRONX,BRONX STUDIO SCHOOL-WRITERS-ARTISTS,Good,1,25649.63,6711.33,1553.99,4141.36,187.95,910.13,456.02,1231.21,616.9,2120.96
NYC GEOG DIST # 8 - BRONX,GOTHAM COLLABORATIVE HIGH SCHOOL,CSI,1,34429.56,10653.75,2791.83,6736.95,72.23,1470.74,736.92,1488.63,745.88,2012.87
NYC GEOG DIST # 8 - BRONX,HERBERT H LEHMAN HIGH SCHOOL,CSI,1,25879.7,6759.21,1991.74,4384.69,5.05,895.68,448.79,1156.69,579.56,1938.54
NYC GEOG DIST # 8 - BRONX,LONGWOOD PREPARATORY ACADEMY,CSI,1,29294.04,7006.3,2466.93,4746.59,230.64,1287.27,644.99,946.46,474.23,3770.86
NYC GEOG DIST # 8 - BRONX,MILLENIUM ART ACADEMY,Good,1,28469.53,8500.59,2009.06,5265.89,121.21,1260.77,631.71,827.13,414.43,1718.99
